"","class","order","family","genus","species","common_name","wi_taxon_id","n"
"52","Mammalia","Carnivora","Mustelidae","Lontra","canadensis","North American River Otter","a70c87e9-62bc-41c2-9e36-96fed9136046",3
"53","Mammalia","Carnivora","Mustelidae","Martes","","Martes Species","43d7217e-9bc8-42d2-934f-dfdbbbaaf998",6
"54","Mammalia","Carnivora","Mustelidae","Martes","americana","American Marten","819ea972-9d43-40f8-a47d-f415c816de94",280
"55","Mammalia","Carnivora","Mustelidae","Martes","pennanti","Fisher","ae7d1bde-3d29-41fc-a52f-5c6e087143df",31
"56","Mammalia","Carnivora","Mustelidae","Mustela","","Mustela Species","7d6dbfa0-522c-4397-a59c-4b8439cad16b",29
"57","Mammalia","Carnivora","Mustelidae","Mustela","erminea","Stoat","696f42f4-7eb9-491c-a1fe-b1d5c78ebcba",43
"58","Mammalia","Carnivora","Ursidae","Ursus","americanus","American Black Bear","436ddfdd-bc43-44c3-a25d-34671d3430a0",3362
"59","Mammalia","Carnivora","Ursidae","Ursus","arctos","Brown Bear","330bb1e9-84d6-4e41-afa9-938aee17ea29",1498
"60","Mammalia","Cetartiodactyla","Cervidae","Alces","alces","Moose","429257d4-3ef2-47fb-b849-66ee6c107346",239
"61","Mammalia","Cetartiodactyla","Cervidae","Odocoileus","hemionus","Mule Deer","febff896-db40-4ac8-bcfe-5bb99a600950",26334
"62","Mammalia","Chiroptera","","","","Bat","a45906ce-5938-433a-bc82-4d0e60d2ebab",1
"63","Mammalia","Lagomorpha","Leporidae","Lepus","americanus","Snowshoe Hare","0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86",4902
"64","Mammalia","Perissodactyla","Equidae","Equus","caballus","Domestic Horse","5109acb4-e503-4147-a175-a3c6aa71f1e3",9784
"65","Mammalia","Primates","Hominidae","Homo","sapiens","Human","990ae9dd-7a59-4344-afcb-1b7b21368000",7985
"66","Mammalia","Primates","Hominidae","Homo","sapiens","Human-Pedestrian","0de272bf-5eab-4198-a888-3a6e92f1460d",9331
"67","Mammalia","Rodentia","Cricetidae","Neotoma","cinerea","Bushy-tailed Woodrat","b8b9d6cf-88e7-42e8-8c94-669b7ab1486a",41
"68","Mammalia","Rodentia","Cricetidae","Peromyscus","","Peromyscus Species","25540311-3902-4d4d-b40c-c6dbb5bb2665",1088
"69","Mammalia","Rodentia","Erethizontidae","Erethizon","dorsatum","North American Porcupine","b34b243f-385d-4880-93b9-0c2526d012a7",15
"70","Mammalia","Rodentia","Sciuridae","Glaucomys","sabrinus","Carolina Flying Squirrel","9cb9136f-84fc-4fca-b8da-52401e3981d9",170
"71","Mammalia","Rodentia","Sciuridae","Marmota","caligata","Hoary Marmot","795fc464-9666-4839-a0b8-dd652662da7d",153
"72","Mammalia","Rodentia","Sciuridae","Tamias","","Tamias Species","8a9cc0e5-2fe9-411a-a4f3-982f56a1e68a",1075
"73","Mammalia","Rodentia","Sciuridae","Tamiasciurus","douglasii","Douglas's Squirrel","f67c4346-bbbd-43d5-9b19-b541d493019b",3240
"74","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown species","1f689929-883d-4dae-958c-3d57ab5b6c16",172
